Item,Reference,Qty,Part,Description,Package,Supplier,Approx_Unit_USD
1,U1,1,ESP32-S3-WROOM-1-N8,Wi-Fi/BLE dual-core SoC module,Module,Espressif,3.80
2,U2,1,SDP816-500Pa,Differential pressure sensor for calibrated pneumatic divider,DFN,Sensirion,18.00
3,U3,1,MPRLS0025PA00001A,Absolute pressure sensor setpoint/safety monitor,SIP,Honeywell,14.00
4,U4,1,ADS122C04IRTER,24-bit I2C ADC pressure/acoustic,VQFN-16,Texas Instruments,3.40
5,U5,1,DRV2700DDA,Piezo driver,SOIC-8,Texas Instruments,3.10
6,U6,1,OPA320AIDBVR,Rail-to-rail acoustic preamplifier,SOT-23-5,Texas Instruments,1.55
7,U7,1,TMP117AIDRVR,Chamber temperature sensor,WSON-6,Texas Instruments,2.80
8,U8,1,MAX17048G+T10,Li-ion fuel gauge,TDFN-8,Analog Devices,1.35
9,U9,1,MCP73831T-2ACI/OT,Li-ion charger,SOT-23-5,Microchip,0.58
10,U10,1,TPS63070RNMR,3.3V buck-boost regulator,VQFN-15,Texas Instruments,2.20
11,P1,1,NMP8301,5V diaphragm vacuum pump,Module,KNF/Generic,11.00
12,V1,1,SMC-SIP-3V,Normally-closed miniature vent solenoid,Valve,SMC/Generic,9.00
13,PZ1-PZ2,2,27mm piezo disc,Drive and pickup transducers,Disc,Murata/Generic,0.56
14,DS1,1,SH1106 128x64 OLED,Display module,Module,Generic,3.80
15,J1,1,USB-C receptacle,Power/service connector,SMD,HRO,0.42
16,J2,1,MicroSD socket,Data logging,SMT,Amphenol,0.72
17,B1,1,LiPo 3.7V 1200mAh,Protected battery pack,Pack,EEMB,5.20
18,MECH1,1,250mL vacuum chamber,Polycarbonate chamber gasket and interlocked lid,Custom,Custom,24.00
19,MECH2,1,45kPa relief valve + check valve,Vacuum safety and pump isolation,Mixed,SMC,6.00
20,Q1-Q3,3,AO3400A,Low-side pump valve buzzer switches,SOT-23,Alpha & Omega,0.36
21,Protection,1,set,PTC TVS flyback diodes ESD and passives,Mixed,DigiKey,7.40
22,PCB,1,4-layer FR-4,85x65mm controller board,PCB,JLCPCB,3.60
